case_id,factor,epoch_utc,altitude_km,inclination_deg,duration_hours,model_id,role,eligible_candidate,maximum_position_difference_m,maximum_velocity_difference_mm_s,final_position_difference_m,final_velocity_difference_mm_s,maximum_radial_position_difference_m,maximum_along_track_position_difference_m,maximum_cross_track_position_difference_m,maximum_radial_velocity_difference_mm_s,maximum_along_track_velocity_difference_mm_s,maximum_cross_track_velocity_difference_mm_s,position_gate_m,velocity_gate_mm_s,position_gate_passed,velocity_gate_passed,pole_separation_from_baseline_start_arcsec,pole_separation_from_baseline_end_arcsec,runtime_seconds
B03_ALTITUDE_1000KM_I51P6_JAN_24H,altitude,2026-01-01T00:00:00Z,1000.0,51.6,24.0,j2000_fixed,ablation_static_axis,False,2639.1148149875885,2539.6789573733904,2636.41028578524,2361.0721891128187,37.68868928477877,2371.059556152049,1166.1002938739452,2353.955815798298,32.73143160161496,1140.844990671811,20.0,20.0,False,False,523.3314053307266,523.470393520958,3.279760700010229
B03_ALTITUDE_1000KM_I51P6_JAN_24H,altitude,2026-01-01T00:00:00Z,1000.0,51.6,24.0,iau1976_precession,ablation_precession_without_nutation,False,91.61442663710555,90.89259927014294,91.61442663710555,90.89259927014294,1.1523343770652954,91.22452824174978,11.918616799844246,90.48691818693173,1.0623366305753488,11.732079464086734,20.0,20.0,False,False,8.342189630767091,8.339046552152881,34.70693889999529
B03_ALTITUDE_1000KM_I51P6_JAN_24H,altitude,2026-01-01T00:00:00Z,1000.0,51.6,24.0,iau1976_1980,closed_1b_validation_baseline,False,2.6152454162917973,2.5944849543244106,2.6152454162917973,2.5944849543244106,0.06424720829923167,2.6150666900250354,0.15743890708153216,2.5944406316441775,0.05100421225389851,0.16110455925634484,20.0,20.0,True,True,0.0,0.0,31.387263200012967
B03_ALTITUDE_1000KM_I51P6_JAN_24H,altitude,2026-01-01T00:00:00Z,1000.0,51.6,24.0,iau2000a,exploratory_modern_orientation_candidate,True,2.4181690572557546,2.397600676644826,2.3400127901733185,2.319225365880314,0.06043836677341181,2.4117517030109417,0.23180288237638824,2.3922292057884778,0.04759297592305728,0.23563522549148017,20.0,20.0,True,True,0.04661322636196498,0.04661322636196498,32.13000689999899
B03_ALTITUDE_1000KM_I51P6_JAN_24H,altitude,2026-01-01T00:00:00Z,1000.0,51.6,24.0,iau2006_2000a,exploratory_modern_orientation_candidate,True,2.4170035383017097,2.3964416984981103,2.3379687614037983,2.317181907294074,0.06041235190711258,2.4105696112706845,0.2320789710947437,2.3910522525338584,0.047569560591702385,0.2359039393250646,20.0,20.0,True,True,0.04681545389005153,0.04681545389005153,33.22408790001646
B04_INCLINATION_5DEG_400KM_JAN_24H,inclination,2026-01-01T00:00:00Z,400.0,5.0,24.0,j2000_fixed,ablation_static_axis,False,2405.1291596762685,2688.0366899448713,2405.1291596762685,242.95471983620612,3.6066284518820644,212.8054775928319,2395.6934633215756,241.9855979227265,3.407042540918369,2678.0198114496484,20.0,20.0,False,False,523.3314053307266,523.470393520958,2.6996780000044964
B04_INCLINATION_5DEG_400KM_JAN_24H,inclination,2026-01-01T00:00:00Z,400.0,5.0,24.0,iau1976_precession,ablation_precession_without_nutation,False,41.136660743048786,47.549028350344464,20.626313032788076,46.15080993148533,0.18988877092978446,17.47028168613024,37.523337174545965,19.76455166768043,0.21907424710454124,43.290862590741675,20.0,20.0,False,False,8.342189630767091,8.339046552152881,30.528864399995655
B04_INCLINATION_5DEG_400KM_JAN_24H,inclination,2026-01-01T00:00:00Z,400.0,5.0,24.0,iau1976_1980,closed_1b_validation_baseline,False,0.666180652163358,0.7395813845752993,0.357868051959773,0.40513973270965936,0.009665012736164387,0.4328881653826525,0.5091458431284888,0.4888307628258914,0.00939840134048351,0.5597023960171549,20.0,20.0,True,True,0.0,0.0,31.425896600005217
B04_INCLINATION_5DEG_400KM_JAN_24H,inclination,2026-01-01T00:00:00Z,400.0,5.0,24.0,iau2000a,exploratory_modern_orientation_candidate,True,0.7004429905779093,0.7790546916104676,0.3697862579553429,0.3654852037118825,0.009233854377375242,0.4154639101283039,0.5721889351509739,0.4693400065588642,0.009006106070699056,0.6282825892532655,20.0,20.0,True,True,0.04661322636196498,0.04661322636196498,33.11973059998127
B04_INCLINATION_5DEG_400KM_JAN_24H,inclination,2026-01-01T00:00:00Z,400.0,5.0,24.0,iau2006_2000a,exploratory_modern_orientation_candidate,True,0.7003610646749807,0.7789458352290275,0.36978885620481394,0.36509738470889835,0.009229957448951992,0.41528553402335533,0.5722580995182383,0.469139127526293,0.00900208577610438,0.6283909801878835,20.0,20.0,True,True,0.04681545389005153,0.04681545389005153,33.01072670001304
